Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
10:40:00,4.330748E-02,5.227370E+02,9.248811E-02,1.214420E+03,1.995011E+03,2.876499E-01,7.455673E+03,4.330748E-02,0.000000E+00,0.000000E+00
10:50:00,4.330748E-02,5.114223E+02,9.588515E-02,1.263964E+03,2.054716E+03,2.877415E-01,7.457423E+03,4.330748E-02,0.000000E+00,0.000000E+00
11:00:00,4.330748E-02,5.001077E+02,9.923460E-02,1.312972E+03,2.112986E+03,2.878235E-01,7.458987E+03,4.330748E-02,0.000000E+00,0.000000E+00
11:10:00,4.330748E-02,4.925646E+02,1.025026E-01,1.357293E+03,2.165516E+03,2.878971E-01,7.460393E+03,4.330748E-02,0.000000E+00,0.000000E+00
11:20:00,4.330748E-02,4.850215E+02,1.056906E-01,1.400713E+03,2.216368E+03,2.879659E-01,7.461708E+03,4.330748E-02,0.000000E+00,0.000000E+00
11:30:00,4.330748E-02,4.774784E+02,1.087998E-01,1.443246E+03,2.265664E+03,2.880306E-01,7.462944E+03,4.330748E-02,0.000000E+00,0.000000E+00
11:40:00,4.330748E-02,4.699353E+02,1.118306E-01,1.484897E+03,2.313471E+03,2.880914E-01,7.464104E+03,4.330748E-02,0.000000E+00,0.000000E+00
11:50:00,4.330748E-02,4.623922E+02,1.147760E-01,1.525587E+03,2.359739E+03,2.881485E-01,7.465195E+03,4.330748E-02,0.000000E+00,0.000000E+00
12:00:00,4.330748E-02,4.548491E+02,1.176289E-01,1.565237E+03,2.404413E+03,2.882025E-01,7.466225E+03,4.330748E-02,0.000000E+00,0.000000E+00
12:10:00,4.330748E-02,4.488146E+02,1.204306E-01,1.602802E+03,2.446643E+03,2.882534E-01,7.467199E+03,4.330748E-02,0.000000E+00,0.000000E+00
12:20:00,4.330748E-02,4.427801E+02,1.231815E-01,1.639793E+03,2.491756E+03,2.883018E-01,7.468122E+03,4.330748E-02,0.000000E+00,0.000000E+00
12:30:00,4.330748E-02,4.367456E+02,1.258712E-01,1.676093E+03,2.534288E+03,2.883477E-01,7.468998E+03,4.330748E-02,0.000000E+00,0.000000E+00
12:40:00,4.330748E-02,4.307111E+02,1.284856E-01,1.711548E+03,2.574632E+03,2.883914E-01,7.469833E+03,4.330748E-02,0.000000E+00,0.000000E+00
12:50:00,4.330748E-02,4.246766E+02,1.310402E-01,1.746329E+03,2.617216E+03,2.884331E-01,7.470630E+03,4.330748E-02,0.000000E+00,0.000000E+00
13:00:00,4.330748E-02,4.186422E+02,1.335200E-01,1.780267E+03,2.655681E+03,2.884730E-01,7.471391E+03,4.330748E-02,0.000000E+00,0.000000E+00
13:10:00,4.330748E-02,4.148706E+02,1.359004E-01,1.810825E+03,2.689484E+03,2.885112E-01,7.472120E+03,4.330748E-02,0.000000E+00,0.000000E+00
13:20:00,4.330748E-02,4.110991E+02,1.381950E-01,1.840418E+03,2.725388E+03,2.885478E-01,7.472820E+03,4.330748E-02,0.000000E+00,0.000000E+00
13:30:00,4.330748E-02,4.073275E+02,1.404037E-01,1.869046E+03,2.757041E+03,2.885830E-01,7.473492E+03,4.330748E-02,0.000000E+00,0.000000E+00
13:40:00,4.330748E-02,4.035560E+02,1.425491E-01,1.896959E+03,2.785066E+03,2.886169E-01,7.474139E+03,4.330748E-02,0.000000E+00,0.000000E+00
13:50:00,4.330748E-02,3.997844E+02,1.446288E-01,1.924133E+03,2.812486E+03,2.886496E-01,7.474763E+03,4.330748E-02,0.000000E+00,0.000000E+00
14:00:00,4.330748E-02,3.960129E+02,1.466925E-01,1.951128E+03,2.840952E+03,2.886811E-01,7.475364E+03,4.330748E-02,0.000000E+00,0.000000E+00
14:10:00,4.330748E-02,3.960129E+02,1.486825E-01,1.973511E+03,2.865511E+03,2.887115E-01,7.475945E+03,4.330748E-02,0.000000E+00,0.000000E+00
14:20:00,4.330748E-02,3.960129E+02,1.506053E-01,1.995137E+03,2.887854E+03,2.887409E-01,7.476507E+03,4.330748E-02,0.000000E+00,0.000000E+00
14:30:00,4.330748E-02,3.960129E+02,1.524692E-01,2.016102E+03,2.909736E+03,2.887694E-01,7.477051E+03,4.330748E-02,0.000000E+00,0.000000E+00
14:40:00,4.330748E-02,3.960129E+02,1.542669E-01,2.036322E+03,2.931008E+03,2.887970E-01,7.477579E+03,4.330748E-02,0.000000E+00,0.000000E+00
14:50:00,4.330748E-02,3.960129E+02,1.559822E-01,2.055614E+03,2.951382E+03,2.888238E-01,7.478090E+03,4.330748E-02,0.000000E+00,0.000000E+00
15:00:00,4.330748E-02,3.960129E+02,1.575726E-01,2.073501E+03,2.970204E+03,2.888498E-01,7.478586E+03,4.330748E-02,0.000000E+00,0.000000E+00
15:10:00,4.330748E-02,4.005387E+02,1.590480E-01,2.085577E+03,2.982965E+03,2.888750E-01,7.479068E+03,4.330748E-02,0.000000E+00,0.000000E+00
15:20:00,4.330748E-02,4.050646E+02,1.603713E-01,2.095943E+03,2.993861E+03,2.888996E-01,7.479537E+03,4.330748E-02,0.000000E+00,0.000000E+00
15:30:00,4.330748E-02,4.095904E+02,1.615258E-01,2.104410E+03,3.002707E+03,2.889234E-01,7.479993E+03,4.330748E-02,0.000000E+00,0.000000E+00
